RB;Ustanova;Pošta;Mjesto;Adresa;Telefon - centrala;Fax ustanove;Ravnatelj
39;NAFTALAN, specijalna bolnica za medicinsku rehabilitaciju;10310;IVANIĆ-GRAD;OMLADINSKA 23 A;01/2834-555;01 28 81 481;Goran Maričić, dr. med., ravnatelj
40;SPECIJALNA BOLNICA ZA KRONIČNE BOLESTI DJEČJE DOBI GORNJA BISTRA;10298;GORNJA BISTRA;BOLNIČKA 21;01/3390-018;01 3315-275;Renato Mittermayer, dr.med. spec. anesteziologije i reanimacije, ravnatelj
41;SPECIJALNA BOLNICA ZA MEDICINSKU REHABILITACIJU KRAPINSKE TOPLICE;49217;KRAPINSKE TOPLICE;GAJEVA 2;049/383-100;049 232 140;Željka Žnidarić, dipl.oec., ravnatelj
42;SPECIJALNA BOLNICA ZA MEDICINSKU REHABILITACIJU STUBIČKE TOPLICE;49244;STUBIČKE TOPLICE;PARK M. GUPCA 1;049/201 000;049 201 005;Davor Gredičak, dr.med., ravnatelj
43;NEUROPSIHIJATRIJSKA BOLNICA DR. IVAN BARBOT POPOVAČA;44317;POPOVAČA;JELENGRADSKA 1;044/569-200;044 679 005 ;Prim. Marina Kovač, dr. med., ravnatelj
44;SPECIJALNA BOLNICA ZA PRODUŽENO LIJEČENJE DUGA RESA;47250;DUGA RESA;JOZEFA JERUZALEMA 7;047/819-099;047 844 207;Višnja Mihalić-Mikuljan, dr.med., spec., ravnatelj
45;SPECIJALNA BOLNICA ZA MEDICINSKU REHABILITACIJU VARAŽDINSKE TOPLICE;42223;VARAŽDINSKE TOPLICE;TRG SLOBODE 1;042/630-000;042 633 299;Denis Kovačić, dr. med., ravnatelj
46;DARUVARSKE TOPLICE Specijalna bolnica za medicinsku rehabilitaciju;43500;DARUVAR;JULIJEV PARK 1;043/623-000;043 331 956;Mira Zakora, dipl.oec., ravnatelj
47;THALASSOTHERAPIA OPATIJA - SPECIJALNA BOLNICA ZA MEDICINSKU REHABILITACIJU BOLESTI SRCA, PLUĆA I REUMATIZMA;51410;OPATIJA;MARŠALA TITA 188/1;051/202-600;051 271 424;prof.dr.sc. Viktor Peršić, ravnatelj
48;THALASSOTHERAPIA CRIKVENICA, SPECIJALNA BOLNICA ZA MEDICINSKU REAHABILITACIJU PRIMORSKO-GORANSKE ŽUPANIJE;51260;CRIKVENICA;GAJEVO ŠETALIŠTE 21;051/407 666; 051 785 189;"Silvije Šegulja;, dr. med. spec. pedijatar., ravnatelj"
49;PSIHIJATRIJSKA BOLNICA RAB;51280;RAB;KAMPOR 224;051/750-640;051 776 377;izv. prof. prim. dr. sc. Vesna Šendula-Jengić, dr. med.
50;SPECIJALNA BOLNICA ZA MEDICINSKU REHABILITACIJU LIPIK;34551;LIPIK;MARIJE TEREZIJE 13;034/440-700;034 440 702;Darko Kelemen, dipl.iur., ravnatelj
51;SPECIJALNA BOLNICA ZA ORTOPEDIJU BIOGRAD NA MORU;23210;BIOGRAD NA MORU;ZADARSKA 62;023/206-050;023 383 344;Andrija Marcelić, dipl. oecc., ravnatelj
52;PSIHIJATRIJSKA BOLNICA UGLJAN;23275;UGLJAN;OTOČKIH DRAGOVOLJACA 42;023/208-200;023 288 183;dr.sc. Mladen Mavar, mag. Psihologije, ravnatelj
53;SPECIJALNA BOLNICA ZA MEDICINSKU REHABILITACIJU BIOKOVKA;21300;MAKARSKA;PUT CVITAČKE 9;021/602-200;021 612 493;dr.med. Marko Ožić Bebek, spec. Fizikalne medicine i rehabilitacije, ravnatelj
54;"Bolnica za ortopediju i rehabilitaciju ""PRIM. DR. MARTIN HORVAT"" Rovinj";52210;ROVINJ;ULICA LUIGI MONTI 2;052/811-011;052 821 172;Marinko Rade, mr.sc. ortopedske medicine, ravnatelj
55;SPECIJALNA BOLNICA ZA MEDICINSKU REHABILITACIJU KALOS;20270;VELA LUKA;ULICA 3 BR.3;020/755-100;020 812 002;dr. Damira Bojić, ravnatelj
56;PSIHIJATRIJSKA BOLNICA LOPAČA;51218;DRAŽICE;LOPAČA 11;051/652-200;051 230 300;Neven Ivanović, dipl.oecc., ravnatelj
57;SPECIJALNA BOLNICA ZA PSIHIJATRIJU I PALIJATIVNU SKRB SVETI RAFAEL STRMAC;35404;CERNIK;ŠUMETLICA, STRMAC NASELJE 4;035/386 700;035/386 701;Maristela Šakić, dr. med., spec. psihijartije, ravnatelj
58;LJEČILIŠTE TOPUSKO;44415;TOPUSKO;TRG BANA J. JELAČIĆA 16;044/886-666;044 886 029;Domagoj Mosler, dr.med., univ. mag. admin. sanit., ravnatelj
59;LJEČILIŠTE VELI LOŠINJ;51551;VELI LOŠINJ;POD JAVORI 27;051/236-111;051 236 224;Renata Žugić, mag. pharm., ravnatelj
60;LJEČILIŠTE BIZOVAČKE TOPLICE;31222;BIZOVAC;SUNČANA 39;031/685-340;031/675 900;Sandra Mihaljević, ravnatelj
61;USTANOVA ZA PALIJATIVNU ZDRAVSTVENU SKRB - HOSPICIJ MARIJA KRUCIFIKSA KOZULIĆ;51000;Rijeka;Tizianova 15;051/585-061;"051/585-091 051/585-072";Daniela Orbanić, dipl. teolog, ravnatelj
62;OPĆA BOLNICA NOVA GRADIŠKA;35400;NOVA GRADIŠKA;Josipa Jurja Strossmayera 17A;(035) 217 900;(035) 217 900;dr. Josip Kolodziej, ravnatelj
63;OPĆA ŽUPANIJSKA BOLNICA PAKRAC I BOLNICA HRVATSKIH VETERANA;34550;PAKRAC;BOLNIČKA 74;34 254 444;34 411 041;Marina Major, dipl. iur., ravnatelj
